Title,Number of ratings,Gutenberg ID,Factor,Rank
"The Blue Firedrake: or, The Wonderful and Strange Relation of the Life and Adventures of Nathan Souldrop",1,,N,
The Charmer: A Seaside Comedy,1,,N,
The Craze of Christina,1,,N,
The Crime of the Century,1,,N,
"The Crimson Sign: A Narrative of the Adventures of Mr. Gervase Orme, Sometime Lieutenant in Mountjoy's",1,,N,
The Divine Adventure,1,,N,
The Doctor: A Study from Life,1,,N,
The Expedition of Captain Flick,1,,N,
The Fossicker: A Romance of Mashonaland,1,,N,
The Gamblers,1,,N,
The Girl Captives: A Story of the Indian Frontier,1,,N,
The Girl from the Farm,1,,N,
The Golden Spur: A Modern Romance,1,,N,
"The Good Ship ""Mohock""",1,,N,
The Great Shadow,1,,N,
The Great War of 189-: A Forecast,1,,N,
The Greater Glory: A Story of High Life,1,,N,
The Handsome Humes,1,,N,
The Harvest of Yesterday: A Tale of the Sixteenth Century,1,,N,
The Heart of a Mystery: A Novel,1,,N,
The House of Mystery,1,,N,
The House of the Wizard,1,,N,
The Idol-Maker: A Novel,1,,N,
The Individualist,1,,N,
The Just and the Unjust,1,,N,
The Kidnapped Millionaires: A Tale of Wall Street and the Tropics,1,,N,
The Magpie Jacket: A Tale of the Turf,1,,N,
"The Making of a Missionary: or, Daydreams in Earnest",1,,N,
"The Minder: The Story of the Courtship, Call and Conflicts of John Ledger, Minder and Minister",1,,N,
The Mirror of Music,1,,N,
The Mist on the Moors: A Romance of North Cornwall,1,,N,
The Nobler Sex,1,,N,
"The Old, Old Story",1,,N,
The One Good Guest,1,,N,
The Outcast of the Family,1,,N,
The Princess of Copper: A Novel,1,,N,
The Purple Robe,1,,N,
The Queen of Love: A Novel,1,,N,
The Rapin,1,,N,
The Rebel Queen,1,,N,
"The Release: or, Caroline's French Kindred",1,,N,
"The School for Saints: Part of the History of the Right Hon. Robert Orange, M. P.",1,,N,
The Secret of the Court: A Romance of Life and Death,1,,N,
The Serious Wooing: A Heart's History,1,,N,
The Silver Christ and A Lemon Tree,1,,N,
The Silver Skull,1,,N,
The Snare of the Fowler,1,,N,
The Soft Side,1,,N,
The Spies of the Wight,1,,N,
The Step-Mother,1,,N,
The Three Scouts: A Story of the Boer War,1,,N,
The Treasures in the Marshes,1,,N,
The Two Captains,1,,N,
The Under Side of Things: A Novel,1,,N,
The Valley of the Great Shadow,1,,N,
The Veiled Man,1,,N,
The Venetians: A Novel,1,,N,
The Wheel of God,1,,N,
The Wilderness Road: A Romance of St Clair's Defeat and Wayne's Victory,1,,N,
The Worldlings,1,,N,
The Young Master of Hyson Hall,1,,N,
"Three Fair Maids: or, The Burkes of Derrymore",1,,N,
Three Girls on a Ranch: A Story of New Mexico,1,,N,
Time Tries,1,,N,
To Right the Wrong,1,,N,
To Tell the King the Sky is Falling,1,,N,
Two Cousins and a Castle,1,,N,
Two Offenders,1,,N,
Under the Great Seal,1,,N,
Up Among the Ice-Floes,1,,N,
When Life is Young,1,,N,
Who Was Lost and Is Found: A Novel,1,,N,
Whom God hath Joined: A Question of Marriage,1,,N,
Winefred: A Story of the Chalk Cliffs,1,,N,
Wives in Exile: A Comedy in Romance,1,,N,
Wolf Ear the Indian: A Story of the Great Uprising of 1890-91,1,,N,
Woman and the Man,1,,N,
The Half-Caste: An Old Governess's Tale,0,,N,
The Trials of the Bantocks,0,,N,
The Next-Door House,0,,N,
The Northern Belle: A Diamond Jubilee Romance,0,,N,
A Double Thread,0,,N,
The Fowler,0,,N,
The West End: A Novel,0,,N,
A Bachelor's Bridal: A Novel,0,,N,
A Battle and a Boy,0,,N,
A Bitter Heritage: A Modern Romance,0,,N,
A Book of Strange Sins,0,,N,
A Boyar of the Terrible: A Romance of the Court of Ivan the Cruel,0,,N,
A Breaker of Laws,0,,N,
A Bride Elect,0,,N,
A Bubble: A Story,0,,N,
A Bundle of Life,0,,N,
A Captive Princess: A Novel,0,,N,
A Celibate's Wife,0,,N,
A Child in the Temple: A Tale,0,,N,
A Child of the Age,0,,N,
A Choice of Evils,0,,N,
A Chum Worth Having: The Story of Hector's Friends,0,,N,
A Clever Wife,0,,N,
A Cluster of Nuts: Being Sketches Among my Own People,0,,N,
A Conquering Heroine,0,,N,
A Crowned Queen: The Romance of a Minister of State,0,,N,
A Cruise in an Opium Clipper,0,,N,
A Cumberer of the Ground,0,,N,
A Daughter of the Fields,0,,N,
A Daughter of the Veldt,0,,N,
A Dead Certainty,0,,N,
A Deadly Foe: A Romance of the Northern Seas,0,,N,
A Deliverance,0,,N,
A Drama in Dutch: A Novel,0,,N,
A Drama in Sunshine: A Novel,0,,N,
A Dream of a Throne: The Story of a Mexican Revolt,0,,N,
A Fair Brigand,0,,N,
A Fair Fraud,0,,N,
A Fatal Silence,0,,N,
A Father of Six and An Occasional Holiday,0,,N,
A Fellowe and His Wife,0,,N,
A Few Smiles,0,,N,
A First Fleet Family,0,,N,
A Friend with the Countersign,0,,N,
A Furnace of Earth,0,,N,
A Fury in White Velvet,0,,N,
A Geraldine,0,,N,
A Golden Autumn: A Novel,0,,N,
"A Good-hearted Girl: or, A Present-day Heroine",0,,N,
A Great Temptation,0,,N,
A Hard Woman,0,,N,
A Hard Woman: A Story in Scenes,0,,N,
A Hidden Chain,0,,N,
A Japanese Marriage,0,,N,
A Jilt's Journal,0,,N,
A King's Pawn,0,,N,
A Lad of Mettle,0,,N,
A Lady in Black: A Novel,0,,N,
"A Lady of Quality: Being a Most Curious, hitherto Unknown History",0,,N,
A Lady of the Regency,0,,N,
A Leading Lady: A Story of the Stage,0,,N,
A Life's Devotion,0,,N,
A Little Grey Sheep: A Novel,0,,N,
A Little Minx: A Sketch,0,,N,
A Little Sister to the Wilderness,0,,N,
A London Legend,0,,N,
A Lost Illusion,0,,N,
A Lost Lady of Old Years: A Romance,0,,N,
A Lover of Truth,0,,N,
A Loyal Lover,0,,N,
A Man of His Age,0,,N,
A Man of his Word,0,,N,
A Man of Millions,0,,N,
A Man of To-Day,0,,N,
A Man's Conscience,0,,N,
A Man's Foes,0,,N,
A Marriage by Capture: A Romance of To-day,0,,N,
A Marriage Ceremony,0,,N,
A Masquerader,0,,N,
A Mine of Wealth,0,,N,
A Minion of the Moon: A Romance of the King's Highway,0,,N,
A Missing Hero,0,,N,
A Missing Witness,0,,N,
A Modern Antaeus,0,,N,
A Modern Corsair: A Story of the Levant,0,,N,
"A Modern Dick Whittington: or, A Patron of Letters",0,,N,
A Mystery of the Pacific,0,,N,
A Naughty Girl: A Story of 1893,0,,N,
A New Lady Audley,0,,N,
A New Saint's Tragedy: A Novel,0,,N,
A Nineteenth-Century Miracle: A Novel,0,,N,
A Noble Haul,0,,N,
A Passage Through Bohemia,0,,N,
A Passionate Pilgrim,0,,N,
A Pinch of Experience,0,,N,
A Point of Conscience,0,,N,
A Prince of Mischance: A Novel,0,,N,
A Prisoner of War: A Story of the Time of Napoleon Bonaparte,0,,N,
A Puritan's Wife,0,,N,
A Queen among Girls,0,,N,
A Question of Instinct: An Analytical Study,0,,N,
A Question of Taste: A Novel,0,,N,
A Racing Rubber: A Novel,0,,N,
A Rank Outsider,0,,N,
A Rational Marriage,0,,N,
A Red Sister: A Story of Three Days and Three Months,0,,N,
A Rising Star: A Novel,0,,N,
A Rogue in Love,0,,N,
A Rogue's Conscience,0,,N,
A Romance of Lincoln's Inn,0,,N,
A Rose Coloured Thread,0,,N,
A Ruthless Avenger,0,,N,
A Scholar of his College,0,,N,
A Scots Thistle,0,,N,
A Sea Comedy,0,,N,
A Self-Denying Ordinance,0,,N,
A Sensational Case,0,,N,
A Sensitive Plant,0,,N,
A Shock to Society,0,,N,
A Sinner's Sentence,0,,N,
A Small Legacy: A Story for Children,0,,N,
A Son of Erin,0,,N,
A Son of the Forge,0,,N,
A Son of the Plains,0,,N,
A Son of the Sea,0,,N,
A Son of the State,0,,N,
A Sower of Wheat,0,,N,
A Spanish Maid,0,,N,
A Spotless Reputation,0,,N,
A Stolen Life,0,,N,
A Strange Elopement,0,,N,
A Strange Temptation,0,,N,
A Study in Temptations,0,,N,
A Stumble on the Threshold,0,,N,
A Tale of the Thames: With Illustrations in Verse by the Author,0,,N,
"A Thorough-Bred Mongrel: The Tale of a Dog, told by a Dog, to Lovers of Dogs",0,,N,
A Tragic Idyl,0,,N,
A True Cornish Maid: A Story of the Last Century,0,,N,
A Vagabond in Arts,0,,N,
A Valuable Life: A Novel,0,,N,
A Victim of Good Luck,0,,N,
A Voyage at Anchor,0,,N,
A Ward of the King: A Romance,0,,N,
A Wasted Crime: A Novel,0,,N,
A Whirl Asunder,0,,N,
A Widower Indeed,0,,N,
A Woman of Forty: A Monograph,0,,N,
A Woman with a History: A Novel,0,,N,
A Woman's Love-Lesson,0,,N,
A Woman's Soul,0,,N,
A Writer of Fiction,0,,N,
A Yankee Volunteer,0,,N,
A Year of Life,0,,N,
A Yellow Aster,0,,N,
"Abigail Templeton: or, Brave Efforts. A Story of To-day",0,,N,
Across an Ulster Bog,0,,N,
Across the World for a Wife,0,,N,
Across the Zodiac: A Story of Adventure,0,,N,
"Ada Vernham, Actress",0,,N,
Adventures of the Comte de la Muette During the Reign of Terror,0,,N,
Afield and Afloat,0,,N,
After Long Waiting,0,,N,
Airlie's Mission,0,,N,
Alice of the Inn: A Tale of the Old Coaching Days,0,,N,
All in a Man's Keeping,0,,N,
All-Fellows: Seven Legends of Lower Redemption,0,,N,
Alone on a Wide Wide Sea,0,,N,
Alston Crucis: A Novel,0,,N,
Among the Freaks,0,,N,
Among the Man-Eaters,0,,N,
Among Typhoons and Pirate Craft,0,,N,
Amygdala: A Tale of the Greek Revolution,0,,N,
An Agitator,0,,N,
An American Emperor: The Story of the Fourth Empire of France,0,,N,
An American Woman,0,,N,
An Angel in a Web,0,,N,
An Arranged Marriage,0,,N,
An Episode on a Desert Island,0,,N,
An Exile from London: A Novel,0,,N,
An Exquisite Fool,0,,N,
An Imaginative Man,0,,N,
An Imperial Lover,0,,N,
An Octave,0,,N,
An Opera and Lady Grasmere,0,,N,
An Uncrowned King: A Romance of High Politics,0,,N,
An Unexpected Hero,0,,N,
And Shall Trelawney Die? and The Mist on the Moors: Being Romances of the Parish of Altarnun in Cornwall,0,,N,
Andria,0,,N,
Andromeda: An Idyll of the Great River,0,,N,
Angel: A Sketch in Indian Ink,0,,N,
Anne Mauleverer,0,,N,
Antonia,0,,N,
Appassionata: A Musician's Story,0,,N,
Appledore Farm,0,,N,
April's Sowing,0,,N,
Arden Massiter,0,,N,
At Market Value: A Novel,0,,N,
At Society's Expense,0,,N,
Australian Life,0,,N,
Ballast: A Novel,0,,N,
Bam Wildfire: A Character Sketch,0,,N,
Banker and Broker,0,,N,
Baptist Lake,0,,N,
Barncraig: Episodes in the Life of a Scottish Village,0,,N,
Bay Ronald,0,,N,
Beatrice and Benedick: A Romance of the Crimea,0,,N,
"Belhaven Tales: Crow's Nest, Una, and King David",0,,N,
Below the Salt,0,,N,
Benefits Forgot: A Novel,0,,N,
Bequeathed,0,,N,
Bernicia,0,,N,
Berris,0,,N,
Bertha's Earl,0,,N,
Between the Devil and the Deep Sea,0,,N,
Between Two Opinions,0,,N,
Billy Bellew: A Novel,0,,N,
Billy Hamilton: A Novel,0,,N,
Blake of Oriel,0,,N,
"Blanche, Lady Falaise: A Tale",0,,N,
Bob Covington: A Novel,0,,N,
Bob Martin's Little Girl,0,,N,
Bonanza: A Story of the Outside,0,,N,
Breaking the Shackles,0,,N,
Broken Away,0,,N,
"Brown, V. C.",0,,N,
Brownies and Rose-Leaves,0,,N,
Bushigrams,0,,N,
By the Waters of Sicily,0,,N,
By Thrasna River: The Story of a Townland,0,,N,
Caged!: The Romance of a Lunatic Asylum,0,,N,
Calmire,0,,N,
"Camera Lucida: or, Strange Passages in Common Life",0,,N,
Can this be Love?: A Novel,0,,N,
Cancelled Bonds,0,,N,
Captain Bluitt,0,,N,
Captain Lanagan's Log: Passages in the Life of a Merchant Skipper,0,,N,
Captain Shannon,0,,N,
Carpet Courtship: A Story of Some Imperfect Persons,0,,N,
Casting of Nets,0,,N,
Castle Meadow: A Story of Norwich a Hundred Years Ago,0,,N,
Catherine,0,,N,
Charity Chance,0,,N,
Charlie is my Darling,0,,N,
Charming Renée,0,,N,
Cheap Jack Zita,0,,N,
"Checked Through. Missing, Trunk no. 17580: A Story of New York Life",0,,N,
Christine,0,,N,
Christine of the Hills,0,,N,
Chronicles of Westerly: A Provincial Sketch,0,,N,
"Cicely Frome, the Captain's Daughter",0,,N,
Cinders: A Novel,0,,N,
Claudia: A Novel,0,,N,
Cleared for Action: A Story of the Spanish-American War,0,,N,
"Colonel Botcherby, M. S. H.",0,,N,
"Come Live with Me, and be My Love",0,,N,
Comments of a Countess,0,,N,
Comrades True,0,,N,
Convict 99: A True Story of Penal Servitude,0,,N,
Cooper's First Term,0,,N,
Creatures of Circumstance: A Novel,0,,N,
Cromwell's Own: A Story of the Great Civil War,0,,N,
Cross Currents,0,,N,
Cupid's Garden,0,,N,
Dally,0,,N,
Dartmoor Idylls,0,,N,
Daunay's Tower: A Novel,0,,N,
De Omnibus,0,,N,
Dear,0,,N,
Deborah: A Tale of the Times of Judas Maccabaeus,0,,N,
Delilah of Harlem: A Story of the New York City of To-day,0,,N,
Derelicts,0,,N,
Diana's Hunting,0,,N,
Dies Irae': The Story of a Spirit in Prison,0,,N,
Disillusion: A Story with a Preface,0,,N,
Distaff,0,,N,
Doctor Congalton's Legacy: A Chronicle of North Country By-ways,0,,N,
Doctor Jack,0,,N,
"Doris Kingsley, Child and Colonist",0,,N,
Down Dartmoor Way,0,,N,
Dr.  Berkeley's Discovery,0,,N,
Dr. Janet of Harley Street,0,,N,
Dr. Mirabel's Theory: A Psychological Study,0,,N,
Dr. North and his Friends,0,,N,
Dual Lives,0,,N,
Dulcie Everton,0,,N,
Dumaresq's Daughter,0,,N,
Dust before the Wind: A Novel,0,,N,
Earlscourt: A Novel of Provincial Life,0,,N,
"Edleen Vaughan: or, Paths of Peril",0,,N,
Ednor Whitlock,0,,N,
Effie Hetherington,0,,N,
Elementary Jane,0,,N,
Elizabeth's Pretenders,0,,N,
Enoch Willoughby: A Novel,0,,N,
"Eochaid the Heremhon: or, The Romance of the Lia Phail",0,,N,
Episodes,0,,N,
Ezekiel's Sin: A Cornish Romance,0,,N,
Fa Tien: A Chinese Love Story,0,,N,
Fancy Free,0,,N,
Fate the Fiddler,0,,N,
Father Anthony: A Romance of To-day,0,,N,
Fellow Travellers,0,,N,
Féo: A Romance,0,,N,
Fiander's Widow,0,,N,
Fields of Fair Renown,0,,N,
Flower and Thorn,0,,N,
Flower de Hundred: The Story of a Virginia Plantation,0,,N,
Foiled: A Novel,0,,N,
Folly and Fresh Air,0,,N,
For Life and Love: A Story of the Rio Grande,0,,N,
For Light and Liberty,0,,N,
For Merrie England: A Tale of the Weavers of Norfolk,0,,N,
For Such is Life,0,,N,
For the Sake o' the Siller: A Fifeshire Story of Forty Years Ago,0,,N,
For the Sake of the Family,0,,N,
Fortune's Tangled Skein: A Novel,0,,N,
Found Out: A Novel,0,,N,
Four for a Fortune: A Tale,0,,N,
Franks: Duellist.  A Novel,0,,N,
Frederick,0,,N,
Free to Serve: A Tale of Colonial New York,0,,N,
From the East unto the West,0,,N,
From the Four Winds,0,,N,
From the Land of the Shamrock,0,,N,
From the Land of the Wombat,0,,N,
Gambles with Destiny,0,,N,
"Geber: A Tale of the Reign of Harun Al Raschid, Khalif of Baghdad",0,,N,
"Gèlta: or, The Czar and the Cantatrice. A Novel",0,,N,
Gentleman Upcott's Daughter,0,,N,
George Malcolm,0,,N,
Giles Ingilby,0,,N,
Gillette's Marriage,0,,N,
Gobelin Grange,0,,N,
God Forsaken,0,,N,
God Save King Alfred,0,,N,
"God, Man and the Devil: A Novel",0,,N,
Godiva Durleigh: A Novel for Girls,0,,N,
Gods and their Makers,0,,N,
Gone to Ground: A Hunting Novel,0,,N,
Good Souls of Cider-land,0,,N,
Grannie: A Story,0,,N,
Great Lowlands,0,,N,
Hannibal's Daughter,0,,N,
"Harry Dale's Jockey ""Wild Rose"": Her Life and Adventures",0,,N,
Heart of Oak: A Three-Stranded Yarn,0,,N,
Heather's Mistress,0,,N,
Heavy Laden and Old-Fashioned Folk,0,,N,
Heavy Odds,0,,N,
"Helterskelter Hounds: or, Mr. Flopkin's Sporting Memoirs",0,,N,
Henry Bourland: The Passing of the Cavalier,0,,N,
Her Memory,0,,N,
Her Rescue from the Turks: A Novel,0,,N,
Herbert Vanlennert,0,,N,
Hernani the Jew: A Story of Russian Oppression,0,,N,
Heronford,0,,N,
"Hetty Martin's Trial: or, Life's Thorns and Roses",0,,N,
His Angel: A Romance of the Far West,0,,N,
His Cuban Sweetheart: A Novel,0,,N,
His Excellency's English Governess,0,,N,
His Fortunate Grace,0,,N,
His Grace,0,,N,
His Little Bill of Sale,0,,N,
His Native Wife,0,,N,
His Own Father,0,,N,
His Wisdom the Defender: A Story,0,,N,
Hoist with her Own Petard,0,,N,
Honor Ormthwaite,0,,N,
Hooks of Steel,0,,N,
Hope the Hermit: A Novel,0,,N,
How Cynthia Went A-Maying: A Romance of Long Ago Wherein the Siege of Wardour Castle is Truly Chronicled,0,,N,
How Like a Woman: A Novel,0,,N,
"Hugh Gwyeth, a Roundhead Cavalier",0,,N,
"Hussein the Hostage: or, A Boy's Adventures in Persia",0,,N,
I Forbid the Banns: The Story of a Comedy which was Played Seriously,0,,N,
Ia,0,,N,
"Ida's Secret: or, The Towers of Ickledale",0,,N,
Idlehurst: A Journal Kept in the Country,0,,N,
In a Quiet Village,0,,N,
In and Out of the Pig-Skin,0,,N,
In Full Cry,0,,N,
In Furthest Ind: The Narrative of Mr. Edward Carlyon of the Honourable East India Company's Service,0,,N,
In Haste and Leisure,0,,N,
In London's Heart,0,,N,
In Market Overt,0,,N,
In Old New York: A Romance,0,,N,
In Search of Quiet: A Country Journal,0,,N,
In the Cheering-up Business,0,,N,
In the Choir of Westminster Abbey: A Story of Henry Purcell's Days,0,,N,
In the Cradle of the North Wind,0,,N,
"In the Days of Prince Hal: or, The Little Forester",0,,N,
"In the Grip of the Algerine: A Historical Tale of the Mediterranean being the Personal Narrative of Sir Lester Willoughby, Knight",0,,N,
In the Old Chateau: A Story of Russian Poland,0,,N,
In the Promised Land,0,,N,
"In the Service of Rachel, Lady Russell: A Story",0,,N,
In the Smoke of War: A Story of Civil Strife,0,,N,
In the Suntime of her Youth,0,,N,
In the Swim: A Story of Currents & Undercurrents in Gayest New York,0,,N,
"In the Wake of King James: or, Dun-Randal on the Sea",0,,N,
In the Web of a War,0,,N,
In Two Moods,0,,N,
In Vallombrosa: A Sequence,0,,N,
In Varying Moods,0,,N,
Inconsequent Lives: A Village Chronicle,0,,N,
Ingelheim,0,,N,
Innes of Blairavon,0,,N,
Irish Pastorals,0,,N,
Isban-Israel: A South African Story,0,,N,
It Happened Yesterday: A Novel,0,,N,
It May Happen Yet: A Tale of Bonaparte's Invasion of England,0,,N,
Ivan Greet's Masterpiece Etc.,0,,N,
Jack Doyle's Daughter,0,,N,
Jack Westropp: An Autobiography,0,,N,
James Cope,0,,N,
"James Ingleton: The History of a Social State, A.D. 2000",0,,N,
James Inwick: Ploughman and Elder,0,,N,
Jan Oxber,0,,N,
Jedwood Justice: A Novel,0,,N,
Joan Brotherhood: A Novel,0,,N,
"Joan, the Curate",0,,N,
"Joanna Traill, Spinster",0,,N,
Jockey Jack,0,,N,
John Darker: A Novel,0,,N,
Juliet's Lovers,0,,N,
"Karadac, Count of Gerzy: A Romance",0,,N,
Kate Grenville,0,,N,
Kerrigan's Quality,0,,N,
Kilgroom: A Story of Ireland,0,,N,
Kilmallie,0,,N,
King Stork and King Log: A Study of Modern Russia,0,,N,
King Stork of the Netherlands: A Romance of the Early Days of the Dutch Republic,0,,N,
Kitty's Engagement: A Novel,0,,N,
Lad's Love: An Idyll,0,,N,
Lady Kilpatrick,0,,N,
Lady Merton: A Tale of the Eternal City,0,,N,
Lady Patty: A Sketch,0,,N,
Lady William,0,,N,
Landed at Last,0,,N,
Last Studies,0,,N,
Lazarus: A Tale of the Earth's Great Miracle,0,,N,
Led On,0,,N,
Leddy Marget,0,,N,
Lepidus the Centurion: A Roman of To-day,0,,N,
Lesbia: A Study in One Volume,0,,N,
Lesser Destinies,0,,N,
Lesser's Daughter,0,,N,
Life in a Nutshell: A Story,0,,N,
Life the Accuser: A Novel,0,,N,
Life's Trivial Round,0,,N,
Light in the Offing,0,,N,
Like a Sister,0,,N,
Like Stars that Fall,0,,N,
Little Anna Mark,0,,N,
Little Aunt Dorothy: Being the Experiences of a Small Girl,0,,N,
Little Miss Conceit,0,,N,
London Idylls,0,,N,
London Only: A Set of Common Occurrences,0,,N,
London's Peril,0,,N,
Long Live the King,0,,N,
"Looking Ahead: A Tale of Adventure. Not by the author of ""Looking Backwards""",0,,N,
Lord Linlithgow: A Novel,0,,N,
Lost Chords: Some Emotions without Morals,0,,N,
Lost Countess Falka: A Story of the Orient,0,,N,
Lot 13,0,,N,
Love and a Sword: A Tale of the Afridi War,0,,N,
Love and Honour,0,,N,
Love and Quiet Life: Somerset Idylls,0,,N,
Love Idylls,0,,N,
Love in our Village,0,,N,
Love Made Manifest,0,,N,
Love of Comrades: A Romance,0,,N,
Lovice,0,,N,
Make-Believe,0,,N,
Margaret Forster: A Dream within a Dream,0,,N,
Marie de Mancini,0,,N,
Marietta's Marriage,0,,N,
Married or Single?,0,,N,
"Marshfield the Observer, and the Death-Dance: Studies of Character",0,,N,
Martin Brook: A Novel,0,,N,
Martyred Fool: A Novel,0,,N,
Mary Fenwick's Daughter,0,,N,
Master Bartlemy,0,,N,
Master Rockafellar's Voyage,0,,N,
Matthew Austin,0,,N,
Matthew Tindale,0,,N,
Max Hereford's Dream,0,,N,
Meda: A Tale of the Future,0,,N,
Meg of the Scarlet Foot,0,,N,
"Mercia, the Astronomer Royal: A Romance",0,,N,
Mere Sentiment,0,,N,
Methodist Idylls,0,,N,
Minor Dialogues,0,,N,
Mirango the Man-Eater: A Tale of Central Africa,0,,N,
Miss Balmaine's Past,0,,N,
Miss Blanchard of Chicago,0,,N,
Miss Devereux of the Mariquita: A Story of Bonanza Days in Nevada,0,,N,
Miss Grace of All Souls,0,,N,
Miss Latimer of Bryans,0,,N,
Miss Mary's Little Maid,0,,N,
Miss Providence: A Novel,0,,N,
Miss Wentworth's Idea,0,,N,
"Mononia: A Love Story of ""Forty-Eight""",0,,N,
More Gal's Gossip,0,,N,
Mr. Chaine's Sons,0,,N,
Mr. Jervis,0,,N,
Mr. Passingham: An Episode in his Life,0,,N,
Mrs. Bouverie,0,,N,
Mrs. Juliet,0,,N,
"Mrs. Keith Hamilton, M. B.: More Experiences of Elizabeth Glen",0,,N,
Mrs. Romney,0,,N,
My Brother Basil,0,,N,
My Honey,0,,N,
My Indian Queen,0,,N,
My Invisible Partner,0,,N,
My Lady's Diamonds,0,,N,
My Laughing Philosopher,0,,N,
My Run Home,0,,N,
Neighbours,0,,N,
Nell Gwyn--Comedian: A Novel,0,,N,
Nic Revel,0,,N,
No Compromise,0,,N,
"No Hero, But a Man",0,,N,
No Heroes,0,,N,
No Soul above Money,0,,N,
Not All in Vain: A Novel,0,,N,
Not Counting the Cost,0,,N,
Number Twenty: Fables and Fantasies,0,,N,
O'er Moor and Fen: A Tale of Methodist Life in Lancashire,0,,N,
Of Royal Blood: A Story of the Secret Service,0,,N,
Old Blackfriars: A Story of the Days of Sir A. Van Dyck,0,,N,
Old Convict Days,0,,N,
Old Dacres' Darling: A Novel,0,,N,
Old Mr Tredgold,0,,N,
On Parole,0,,N,
On the Other Side of the Latch,0,,N,
On Trial,0,,N,
One Never Knows,0,,N,
One of the Broken Brigade,0,,N,
One of the Grenvilles,0,,N,
One Queen Triumphant,0,,N,
One Reason Why,0,,N,
One Year,0,,N,
Orchardscroft: The Story of an Artist,0,,N,
Oriole's Daughter: A Novel,0,,N,
Othello's Occupation: A Novel,0,,N,
Other People's Lives,0,,N,
Our Remarkable Fledger,0,,N,
Outrageous Fortune: A Novel,0,,N,
Ozmar the Mystic: A Novel,0,,N,
Pastorals of Dorset,0,,N,
Patience Holt,0,,N,
"Paul Beck, the Rule of Thumb Detective",0,,N,
Penhala: A Wayside Wizard,0,,N,
Perfection City,0,,N,
Peter's Wife,0,,N,
Phoebe Tilson: A Story of that Part of Massachusetts Known as the Old Colony,0,,N,
Polly of Parker's Rents,0,,N,
Pomona,0,,N,
Poor Human Nature,0,,N,
Poste Restante: A Novel,0,,N,
Prince Schamyl's Wooing: A Story of the Caucasus-Russo-Turkish War,0,,N,
Pro Patria,0,,N,
Quality Corner: A Study of Remorse,0,,N,
Quixote the Weaver,0,,N,
"Rab Bethune's Double: or, Life's Long Battle Won",0,,N,
Rachel Dene: A Tale of Deepdale Mills,0,,N,
Ralph Ryder of Brent,0,,N,
Red Cap and Blue Jacket,0,,N,
"Red Jacket, the Last of the Senecas",0,,N,
Renunciations: A Chemist in the Suburbs--A Confidence at the Savile--The North Coast and Eleanor,0,,N,
Resolved to be Rich,0,,N,
Rhoda Roberts: A Welsh Mining Story,0,,N,
Ribstone Pippins: A Country Tale,0,,N,
Richard Dare: A Novel,0,,N,
Richard Escott,0,,N,
Ricroft of Withens,0,,N,
Ring o' Rushes,0,,N,
Ripple and Flood,0,,N,
Rising Fortunes: The Story of a Man's Beginnings,0,,N,
"Robert Milligan's Difficulties: or, Struggle and Triumph. A Scotch Life Story",0,,N,
Robert Urquhart,0,,N,
Rosalba: The Story of Her Development,0,,N,
Rose Island: The Strange Story of a Love Adventure at Sea,0,,N,
"Roy Royland: or, The Young Castellan. A Tale of the Civil War",0,,N,
Royal Georgie,0,,N,
Royal Rogues,0,,N,
Rue with a Difference,0,,N,
"Running it Off: or, Hard Hit",0,,N,
Saint Ann's: A Novel,0,,N,
"Santa Barbara, etc.",0,,N,
Saved by the Sword: A Romantic Story of the Greco-Turkish War,0,,N,
Sawdust,0,,N,
"School and University: or, Dolph Woolward",0,,N,
Scoundrels and Co,0,,N,
Scribes and Pharisees: A Story of Literary London,0,,N,
Scruples: A Novel,0,,N,
Scylla or Charybdis?,0,,N,
Seething Days: A Romance of Tudor Times,0,,N,
Selah Harrison,0,,N,
Señorita Montenar,0,,N,
Sent to Coventry,0,,N,
Severance: A Novel,0,,N,
Sharp Tommy: A Story of Circus Life,0,,N,
She Loved a Sailor,0,,N,
She Shall be Mine,0,,N,
She Stands Alone: The Story of Pilate's Wife,0,,N,
Sidney Yorke's Friend,0,,N,
"Signors of the Night: The Story of Fra Giovanni, the Soldier-Monk of Venice",0,,N,
Silence Farm,0,,N,
Silhouettes of American Life,0,,N,
Sinners Twain: A Romance of the Great Lone Land,0,,N,
Sir Godfrey's Grand-daughters: A Novel,0,,N,
Sir John and the American Girl,0,,N,
Sir Patrick: The Puddock,0,,N,
Siren City,0,,N,
Sketches of the Future,0,,N,
Some Whims of Fate,0,,N,
Some Women's Ways,0,,N,
Something Occurred,0,,N,
Souls of Passage,0,,N,
Sowing Beside all Waters: A Tale of the Early Church,0,,N,
Spindle and Plough,0,,N,
"Spindles and Oars: or, Chronicles of Skyrle",0,,N,
Stephen Remarx: The Story of a Venture in Ethics,0,,N,
"Story of Allan Gordon: or, From Cabin-boy to Quarterdeck",0,,N,
Strolling Players: A Harmony of Contrasts,0,,N,
Strong Men and True,0,,N,
Studies in Brown Humanity,0,,N,
Successors to the Title,0,,N,
Sun Beetles: A Comedy of Nickname Land,0,,N,
Sunlight and Limelight: A Story of the Stage Life and the Real Life,0,,N,
Sunningwell,0,,N,
Sunset,0,,N,
Sunshine and Haar: Some Further Glimpses of Life at Barncraig,0,,N,
Sweet Bells Out of Tune,0,,N,
