,Title,Genre,Goodreads,Sentiment,Status,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Negative,Positive,Tokens,AngerPR,AnticipationPR,DisgustPR,FearPR,JoyPR,SadnessPR,SurprisePR,TrustPR,MeanH,MeanL
753,The Wrecker,Adventure,227,0.133296,Bestsellers,480,414,372,571,367,492,268,553,1239,1064,138758,0.345926001,0.298361176,0.268092651,0.411507805,0.264489255,0.354574151,0.193142017,0.39853558,1.483158,1.051470906
771,Tom Wallis A Tale of the South Seas,Adventure,0,0.124231,Neither,271,232,184,331,204,284,135,299,614,567,69088,0.392253358,0.335803613,0.266327003,0.47909912,0.295275591,0.41106994,0.195402964,0.43278138,1.628358,1.179654933
828,Young Tom Bowling The Boys of the British Navy   ,Adventure,0,0.339645,Neither,315,289,218,380,246,293,186,367,738,690,85216,0.369648892,0.33913819,0.255820503,0.445925648,0.288678183,0.343832144,0.21826887,0.430670297,1.578342,1.113640631
843,An Isle in the Water  ,Adventure,5,0.091219,Neither,230,240,188,323,233,279,123,291,588,557,40447,0.568645388,0.5933691,0.464805795,0.798575914,0.576062502,0.689791579,0.304101664,0.719460034,2.712191,2.002620714
844,An Outcast of the Islands  ,Adventure,679,-0.101784,Canonical novels,449,318,333,543,290,468,214,421,1077,792,105804,0.424369589,0.300555745,0.314732902,0.513213111,0.274091717,0.442327322,0.202260784,0.397905561,1.728668,1.140788628
75,Devil's Dice,Detection & Mystery,2,0.025649,Neither,325,307,258,421,272,385,188,411,851,784,84700,0.383707202,0.362455726,0.304604486,0.497048406,0.321133412,0.454545455,0.221959858,0.485242031,1.728453,1.302243211
315,Prince Zaleski,Detection & Mystery,77,-0.094926,Neither,246,215,190,330,174,280,127,295,597,546,33338,0.737896694,0.644909713,0.569920211,0.989861419,0.52192693,0.839882416,0.380946667,0.884876117,3.200552,2.369668246
467,A Monk of Cruta,Detection & Mystery,22,-0.08411,Neither,272,264,209,359,233,315,153,331,694,590,72235,0.376548764,0.365473801,0.289333426,0.496988994,0.322558317,0.436076694,0.21180868,0.458226621,1.697238,1.259777116
571,The Last Stroke A Detective Story,Detection & Mystery,0,0.179508,Neither,225,255,154,315,194,265,151,356,582,606,68010,0.330833701,0.374944861,0.226437289,0.463167181,0.285252169,0.389648581,0.222026173,0.523452433,1.527717,1.288045876
693,The Survivor,Detection & Mystery,0,0.1423,Neither,265,263,206,351,256,334,148,341,704,683,67415,0.393087592,0.390120893,0.305569977,0.52065564,0.379737447,0.495438701,0.219535712,0.505822146,1.818586,1.39138174
696,The Temptress,Detection & Mystery,4,0.038107,Neither,366,339,294,478,305,428,206,441,963,853,90243,0.405571623,0.375652405,0.325787042,0.529680972,0.337976353,0.474275013,0.228272553,0.488680562,1.827289,1.338607981
822,Against Odds A Detective Story,Detection & Mystery,13,0.234759,Neither,291,300,199,373,253,315,189,420,755,808,102208,0.284713525,0.293519098,0.194701002,0.364942079,0.24753444,0.308195053,0.184917032,0.410926738,1.276808,1.012640889
831,Agatha Webb   ,Detection & Mystery,163,0.010764,Neither,342,301,247,421,260,355,192,395,831,737,90239,0.378993562,0.333558661,0.273717572,0.466538858,0.28812376,0.39339975,0.212768315,0.437726482,1.620142,1.164684892
