,Title,Genre,Goodreads,Sentiment,Status,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Negative,Positive,Tokens,AngerPR,AnticipationPR,DisgustPR,FearPR,JoyPR,SadnessPR,SurprisePR,TrustPR,MeanH,MeanL
113,Father Stafford,Social,5,0.251834,Neither,276,254,179,299,240,268,145,353,637,650,47688,0.578761953,0.532628754,0.375356484,0.626992115,0.503271263,0.561986244,0.304059722,0.74022815,2.388442,1.834843147
212,Lancashire Idylls 1898,Social,0,-0.009233,Neither,254,264,176,340,238,286,144,313,634,570,59279,0.428482262,0.445351642,0.296901095,0.573558933,0.401491253,0.482464279,0.242919078,0.528011606,1.943353,1.455827527
235,Many Cargoes,Social,0,0.146636,Neither,299,254,230,340,221,295,163,319,697,591,71511,0.418117492,0.355190111,0.32162884,0.475451329,0.309043364,0.412523947,0.227936961,0.446085218,1.752178,1.213799276
237,Marcella  ,Social,2,0.121576,Canonical novels,562,450,419,665,399,579,266,611,1402,1183,253807,0.221428093,0.177300074,0.165086069,0.26201011,0.157206066,0.228126096,0.104804044,0.240734101,0.910534,0.646160271
271,New Grub Street,Social,5509,0.142329,Canonical novels,484,389,357,528,348,521,225,525,1171,1028,190923,0.25350534,0.20374706,0.186986377,0.27655128,0.182272434,0.27288488,0.117848557,0.274979966,1.017164,0.751611906
284,Orientations,Social,43,0.028192,Neither,248,247,197,305,242,305,129,348,610,644,50418,0.491887818,0.489904399,0.390733468,0.604942679,0.479987306,0.604942679,0.255861002,0.69022968,2.223412,1.785076758
327,Reginald Cruden A Tale of City Life,Social,6,0.184927,Neither,327,307,241,399,267,366,192,393,827,743,93929,0.348135294,0.326842615,0.256576776,0.424788936,0.284257258,0.389656017,0.204409714,0.418401133,1.518168,1.134899765
448,The Changeling,Social,8,0.252319,Neither,281,274,229,338,271,315,161,442,692,777,86615,0.324424176,0.316342435,0.264388385,0.390232639,0.312878832,0.363678347,0.185880044,0.51030422,1.477804,1.190325001
525,The Guinea Stamp  A Tale of Modern Glasgow,Social,21,0.208862,Neither,321,325,240,372,318,376,169,431,812,820,106260,0.302089215,0.305853567,0.225861095,0.350084698,0.299265951,0.35384905,0.159043855,0.405608884,1.336345,1.0653115
617,The Observations of Henry,Social,36,0.258821,Neither,101,119,75,126,124,117,74,178,239,300,23783,0.424673086,0.500357398,0.315351301,0.529790186,0.521380818,0.49194803,0.311146617,0.748433755,2.102342,1.740739183
682,The Stark Munro Letters Being series of twelve letters written by J Stark Munro M B to his friend and former fellow student Herbert Swanborough of Lowell Massachusetts during the years 1881 1884 ,Social,74,0.206493,Neither,356,333,271,416,267,342,198,443,849,813,78790,0.451833989,0.422642467,0.343952278,0.527985785,0.338875492,0.434065237,0.251300927,0.562254093,1.913948,1.418961797
744,Aaron the Jew,Social,3,0.372322,Neither,374,362,271,461,354,423,197,530,904,999,123925,0.301795441,0.292112165,0.218680654,0.371999193,0.285656647,0.341335485,0.158967117,0.427678031,1.337099,1.061125681
795,Waynflete,Social,0,0.223562,Neither,287,288,217,360,262,327,175,379,709,701,76713,0.374121726,0.375425286,0.282872525,0.469281608,0.341532726,0.426264127,0.228123004,0.494049248,1.695932,1.295738662
839,An American Girl in London ,Social,0,0.349703,Neither,264,274,188,298,270,287,158,412,671,784,81218,0.325051097,0.337363639,0.231475781,0.366913738,0.332438622,0.353369943,0.194538157,0.507276712,1.450417,1.198010293
842,An Interloper   ,Social,1,0.044711,Neither,386,310,273,441,286,397,201,417,910,782,104826,0.368229256,0.295728159,0.260431572,0.420697155,0.272833076,0.378722836,0.191746322,0.397802072,1.513937,1.072253067
7,At the Relton Arms,,2,0.297092,Neither,207,205,156,243,214,244,122,288,496,546,37658,0.549683998,0.544373042,0.414254607,0.645281215,0.568272346,0.647936693,0.323968347,0.764777736,2.501461,1.957087471
11,Aylwin ,,5,0.08158,Neither,422,367,304,520,358,437,242,491,1033,969,175515,0.24043529,0.209098937,0.173204569,0.296270974,0.203971171,0.248981569,0.137879953,0.27974817,1.051762,0.737828676
34,A Comedy of Masks ,,0,0.215449,Neither,385,366,294,451,334,436,215,500,1021,952,95021,0.405173593,0.385178013,0.309405289,0.474631923,0.351501247,0.458845939,0.226265773,0.526199472,1.766978,1.370223424
35,By Reef and Palm  ,,24,0.013331,Neither,198,183,149,251,158,224,106,226,475,422,38242,0.517755348,0.478531458,0.389623974,0.656346425,0.413158308,0.585743423,0.277182156,0.590973275,2.254066,1.655248156
37,By Right of Sword  ,,0,-0.005436,Neither,389,305,268,428,250,356,194,392,871,695,95826,0.405944107,0.318285225,0.279673575,0.446642874,0.260889529,0.371506689,0.202450274,0.409074781,1.595600,1.098866696
38,Bye Ways  ,,0,-0.040199,Neither,354,308,253,451,291,365,196,394,854,756,78319,0.4519976,0.393263448,0.323037832,0.575850049,0.371557349,0.466042723,0.250258558,0.503070775,1.972701,1.362376946
39,Cæsar's Column A Story of the Twentieth Century  ,,0,0.113452,Neither,458,373,334,575,343,436,230,537,1017,966,98281,0.466010724,0.379524018,0.339841882,0.585057132,0.348999298,0.44362593,0.234022853,0.546392487,1.973932,1.369542434
40,Capt'n Davy's Honeymoon  ,,4,0.083293,Neither,162,158,121,194,151,179,84,193,400,338,31294,0.517671119,0.504889116,0.386655589,0.619927143,0.482520611,0.571994632,0.268422062,0.616731642,2.275197,1.69361539
41,Casa Braccio   ,,4,0.085107,Neither,368,330,275,449,305,405,203,463,902,894,150956,0.243779644,0.218606746,0.182172289,0.297437664,0.202045629,0.268290098,0.134476271,0.30671189,1.059911,0.793608734
42,Catharine Furze   ,,5,0.19489,Neither,309,283,250,352,250,310,152,419,759,733,68360,0.452018724,0.413984786,0.365710942,0.514921006,0.365710942,0.453481568,0.222352253,0.612931539,1.920714,1.480397894
44,Cecilia de Noël  ,,0,0.11956,Neither,192,207,156,240,189,243,115,275,489,501,33449,0.574008192,0.618852582,0.466381656,0.717510239,0.565039314,0.726479117,0.34380699,0.822147149,2.666746,2.167478848
45,A Country Sweetheart   ,,1,0.183872,Neither,319,287,244,383,274,350,178,367,770,695,134529,0.237123594,0.213336901,0.181373533,0.28469698,0.203673557,0.260166953,0.132313479,0.272803633,1.039181,0.746307488
46,Celibates,,10,0.127183,Neither,317,278,258,382,274,365,154,392,763,707,96105,0.329847563,0.289266948,0.268456376,0.397481921,0.285104833,0.379792935,0.160241403,0.407887207,1.441132,1.076947089
48,Children of the Mist ,,21,0.074097,Neither,494,417,366,606,378,519,268,530,1228,1015,180439,0.273776733,0.231103032,0.202838632,0.335847572,0.209489079,0.287631831,0.148526649,0.293728074,1.170479,0.812462938
49,Clara Hopgood  ,,15,0.215536,Neither,238,266,178,293,244,270,143,369,601,639,49713,0.478748014,0.535071309,0.358055237,0.589383059,0.490817291,0.543117494,0.287651117,0.742260576,2.204655,1.820449379
50,Clarence ,,6,-0.017976,Neither,321,249,205,395,212,316,157,356,751,658,52094,0.616193804,0.477982109,0.393519407,0.758244711,0.406956655,0.606595769,0.301378278,0.683380044,2.476293,1.767957922
51,Cleg Kelly Arab of the City ,,1,0.110982,Neither,424,347,320,502,312,417,219,503,997,966,118427,0.358026464,0.293007507,0.270208652,0.423889822,0.263453435,0.352115649,0.184924046,0.424734224,1.500502,1.06985738
53,Cleo The Magnificent Or The Muse of the Real ,,0,0.293708,Neither,319,334,234,389,320,370,195,436,826,874,79124,0.403164653,0.422122239,0.295738335,0.491633386,0.404428492,0.467620444,0.246448612,0.55103382,1.841413,1.440776503
54,Clutterbuck's Treasure ,,0,0.129061,Neither,303,267,215,389,209,313,174,324,704,612,71178,0.425693332,0.375115907,0.302059625,0.546517182,0.293630054,0.439742617,0.244457557,0.45519683,1.812358,1.270055354
55,Colonel Starbottle's Client,,2,0.105446,Neither,320,299,228,389,246,334,192,416,794,728,54919,0.582676305,0.544438173,0.415156867,0.708315883,0.44793241,0.608168393,0.349605783,0.757479197,2.503687,1.910085763
57,Colonel Thorndyke's Secret,,0,0.235201,Neither,325,271,217,391,219,298,165,388,726,670,132602,0.245094342,0.204370975,0.163647607,0.294867347,0.16515588,0.224732659,0.124432512,0.292604938,0.993198,0.721708572
58,Colonial Born A Tale of the Queensland bush,,0,-0.054649,Neither,320,264,219,385,228,320,154,309,768,620,81755,0.391413369,0.32291603,0.267873525,0.47091921,0.278882026,0.391413369,0.188367684,0.377958535,1.597456,1.092287933
59,Comedies of Courtship,,0,0.273045,Neither,259,278,189,305,263,302,164,372,659,716,61730,0.419569091,0.450348291,0.30617204,0.494087154,0.426048923,0.48922728,0.265673092,0.602624332,1.911550,1.542199903
60,Condemned as a Nihilist A Story of Escape from Siberia,,80,0.112024,Neither,313,276,209,387,220,305,147,362,694,662,120505,0.25974026,0.22903614,0.173436787,0.3211485,0.182565039,0.253101531,0.12198664,0.300402473,1.058877,0.782540144
61,Corleone A Tale of Sicily ,,9,0.088959,Neither,402,335,282,505,294,442,199,494,958,872,155737,0.258127484,0.215106237,0.181074504,0.324264626,0.188779802,0.283811811,0.127779526,0.317201436,1.080026,0.816119483
62,Cormorant Crag a Tale of the Smuggling Days,,3,0.068455,Neither,292,267,207,382,193,292,160,288,713,571,125785,0.232142147,0.212266963,0.164566522,0.303692809,0.153436419,0.232142147,0.127201177,0.228962118,0.981039,0.673371229
63,Count Hannibal A Romance of the Court of France,,0,-0.230475,Neither,430,314,300,531,262,411,213,393,1004,711,111682,0.385021758,0.281155423,0.268619831,0.475457101,0.234594653,0.368009169,0.19072008,0.351891979,1.554413,1.001056571
65,Crown and Anchor Under the Penant,,1,0.268924,Neither,356,295,260,421,250,348,178,422,850,751,90342,0.394058135,0.326536937,0.287795267,0.466006951,0.276726218,0.385202896,0.197029067,0.467113856,1.621616,1.178853689
66,Crusoes of the Frozen North,,0,0.153801,Neither,89,91,55,123,83,91,67,98,191,202,15021,0.592503828,0.605818521,0.366154051,0.818853605,0.55255975,0.605818521,0.446042208,0.652419945,2.776113,1.864056987
67,A Daughter of the Vine,,8,0.140182,Neither,282,259,205,334,243,296,158,320,677,648,53157,0.530503979,0.487235924,0.385650055,0.628327407,0.457136407,0.556841056,0.297232726,0.601990331,2.298851,1.64606731
68,Cursed by a Fortune,,0,0.085329,Neither,326,271,244,391,239,360,159,360,783,619,108287,0.301051834,0.250260881,0.22532714,0.361077507,0.22070978,0.332449879,0.14683203,0.332449879,1.254998,0.915160638
71,Darkness and Dawn Or Scenes in the Days of Nero An Historic Tale,,0,-0.10787,Neither,636,474,498,769,432,643,297,645,1503,1229,215026,0.295778185,0.220438459,0.2315999,0.35763117,0.200905937,0.299033605,0.138122832,0.299963725,1.224038,0.819435789
72,Dead Men Tell No Tales,,0,-0.073108,Neither,347,255,265,409,234,331,173,327,802,624,57071,0.608014578,0.446811866,0.4643339,0.716651189,0.410015595,0.579979324,0.303131187,0.57297051,2.502146,1.5997617
73,Denzil Quarrier,,17,0.237359,Neither,360,323,267,428,309,375,193,478,871,865,82049,0.438762203,0.393667199,0.325415301,0.521639508,0.376604224,0.457043962,0.235225292,0.582578703,1.897647,1.433289863
74,Despair's Last Journey,,0,0.107327,Neither,471,420,376,581,397,502,259,574,1221,1083,154913,0.304041623,0.271119919,0.24271688,0.375049221,0.256272876,0.324052855,0.167190617,0.370530556,1.345271,0.96570333
76,Diana Tempest ,,26,0.030611,Neither,387,355,284,475,327,451,201,477,1023,898,121791,0.31775747,0.29148295,0.23318636,0.390012398,0.268492746,0.370306509,0.165036825,0.391654556,1.374486,1.053444015
77,Dodo A Detail of the Day ,,19,0.235914,Bestsellers,313,295,232,345,277,316,170,398,725,732,84893,0.368699422,0.34749626,0.273285194,0.406393931,0.326293098,0.372233282,0.200252082,0.468825463,1.574924,1.188555005
78,A Daughter of To Day   ,,0,0.360619,Neither,344,330,241,382,300,362,198,451,832,848,85240,0.403566401,0.387142187,0.282731112,0.44814641,0.351947443,0.424683247,0.232285312,0.529094322,1.718677,1.340919756
79,Dolly Dialogues  ,,34,0.20572,Neither,130,132,102,148,135,163,89,198,321,366,28774,0.451796761,0.45874748,0.354486689,0.514353236,0.469173559,0.566483631,0.309307013,0.688121221,2.099117,1.713352332
81,Don Orsino ,,9,0.255548,Neither,396,371,288,455,329,426,214,528,963,971,152793,0.259174177,0.242812171,0.18849031,0.297788511,0.215324,0.278808584,0.140058772,0.345565569,1.100836,0.867186324
83,Donna Teresa ,,0,0.080998,Neither,238,204,182,285,194,275,133,272,574,517,44602,0.533608358,0.457378593,0.408053451,0.638984799,0.434958074,0.61656428,0.298192906,0.609838124,2.313798,1.683780996
84,Doom Castle  ,,27,-0.017025,Neither,415,340,314,495,324,428,205,432,1025,876,99936,0.41526577,0.340217739,0.314201089,0.495317003,0.324207493,0.428274095,0.205131284,0.432276657,1.754123,1.200768492
85,Dorothy's Double  ,,0,0.209429,Neither,313,270,224,359,214,311,166,370,751,665,141173,0.221713784,0.191254702,0.158670567,0.254297918,0.15158706,0.220297082,0.117586224,0.262089776,0.903856,0.67364156
86,Dr. Rumsey's Patient ,,0,0.096053,Neither,240,245,178,324,213,288,151,314,614,576,73915,0.324697287,0.331461814,0.240817155,0.438341338,0.288168843,0.389636745,0.20428871,0.424812284,1.496313,1.145910844
88,Draw Swords In the Horse Artillery,,9,0.143039,Neither,348,265,231,408,215,311,174,338,765,630,99386,0.350149921,0.266637152,0.232427102,0.410520596,0.216328255,0.312921337,0.17507496,0.340088141,1.384501,0.91964663
89,A Deal with The Devil,,8,0.159159,Neither,212,221,164,280,211,249,133,288,534,520,32965,0.643106325,0.670408008,0.497497346,0.849385712,0.640072804,0.75534658,0.403458213,0.873653875,3.033520,2.299408464
90,Dream Days,,235,0.29849,Neither,246,267,155,303,242,251,160,310,600,622,39498,0.622816345,0.675983594,0.392424933,0.767127449,0.61268925,0.635475214,0.405083802,0.784849866,2.800142,2.096308674
91,Dream Life and Real Life A Little African Story  I.,,19,0.141261,Neither,43,61,35,49,60,52,30,69,100,109,7860,0.547073791,0.776081425,0.445292621,0.623409669,0.763358779,0.661577608,0.381679389,0.877862595,2.760814,2.315521628
92,Dreamers of the Ghetto,,6,0.183184,Neither,582,503,463,722,457,589,293,689,1450,1281,158011,0.368328787,0.318332268,0.293017575,0.456930214,0.289220371,0.372758859,0.185430128,0.436045592,1.592927,1.127136718
93,Drolls From Shadowland,,0,0.019649,Neither,117,137,115,168,141,167,79,169,320,327,15893,0.736173158,0.862014723,0.723589001,1.05706915,0.887183037,1.050777072,0.497074184,1.063361228,3.901089,2.976153023
94,Dwell Deep or Hilda Thorn's Life Story,,18,0.270259,Neither,184,229,127,225,212,215,123,276,433,526,51434,0.357740016,0.445230781,0.246918381,0.437453824,0.412178714,0.418011432,0.239141424,0.536610024,1.693432,1.399852238
95,Eben Holden A Tale of the North Country,,45,0.155365,Neither,272,285,205,370,260,309,184,369,696,696,90465,0.300668767,0.315038965,0.226606975,0.408997955,0.287403968,0.341568562,0.203393578,0.407892555,1.427071,1.064500083
96,Edward Barry South Sea Pearler,,1,0.218872,Neither,246,203,169,300,179,232,130,265,523,494,52246,0.470849443,0.388546492,0.323469739,0.574206638,0.342609961,0.444053133,0.248822876,0.507215863,1.959959,1.339815488
97,Eleanor,,11,0.060914,Neither,460,410,320,575,362,473,242,517,1113,978,300158,0.15325262,0.136594727,0.106610518,0.191565775,0.120603149,0.157583673,0.080624205,0.172242619,0.652656,0.466421018
98,Eliza,,17,0.231073,Neither,99,114,88,105,101,122,62,152,257,286,22574,0.438557633,0.505005759,0.389829007,0.465136883,0.447417383,0.540444759,0.274652255,0.673341012,2.015593,1.71879153
99,Elizabeth and Her German Garden,,2718,0.432995,Bestsellers,221,242,185,281,247,268,130,332,576,637,48777,0.453082395,0.496135474,0.379277118,0.576091191,0.506386207,0.549439285,0.266519056,0.680648666,2.181356,1.726223425
100,A Devotee An Episode in the Life of a Butterfly,,6,0.10104,Neither,158,178,119,221,175,225,105,233,427,449,26351,0.599597738,0.675496186,0.451595765,0.838677849,0.664111419,0.853857539,0.398466851,0.884216918,2.952450,2.413570642
101,Emily Fox Seton Being The Making of a Marchioness and The Methods of Lady Walderhurst  ,,1431,0.35826,Neither,245,289,190,319,309,288,164,395,641,767,79772,0.307125307,0.362282505,0.23817881,0.399889686,0.387353959,0.361028932,0.20558592,0.495161209,1.538134,1.218472647
102,Erewhon Revisited Twenty Years Later Both by the Original Discoverer of the Country and by His Son,,133,0.311273,Neither,279,293,200,338,244,300,155,414,692,749,85745,0.325383404,0.341710887,0.233249752,0.394192081,0.284564698,0.349874628,0.180768558,0.482826987,1.418158,1.174412502
103,Eric Brighteyes ,,476,-0.087898,Neither,198,186,151,282,162,242,113,211,496,379,107741,0.183774051,0.172636229,0.140150917,0.2617388,0.150360587,0.224612729,0.10488115,0.195840024,0.840906,0.593088982
104,Esther's Charge A Story for Girls,,0,0.303049,Neither,186,218,145,263,204,230,137,256,480,528,60638,0.306738349,0.359510538,0.239123982,0.433721429,0.336422705,0.379300109,0.225930934,0.422177512,1.541937,1.160988159
105,Esther Waters,,704,0.146386,Canonical novels,349,305,284,411,276,399,173,408,880,745,142933,0.244170346,0.213386692,0.198694493,0.287547312,0.193097465,0.27915177,0.12103573,0.285448427,1.044545,0.777986889
108,Evelyn Innes,,7,0.306721,Neither,417,410,323,508,387,474,230,545,1072,1034,180822,0.230613532,0.226742321,0.178628707,0.280939266,0.21402263,0.262136244,0.127196912,0.301401378,1.031401,0.790279944
109,Faith Gartney's Girlhood,,0,0.353907,Neither,253,310,200,344,290,310,174,396,686,771,80643,0.313728408,0.384410302,0.248006647,0.426571432,0.359609638,0.384410302,0.215765783,0.49105316,1.563682,1.259873765
110,Fan The Story of a Young Girl's Life,,0,0.248439,Neither,449,394,371,526,363,468,229,507,1109,993,184105,0.243882567,0.21400831,0.20151544,0.285706526,0.197170093,0.254202765,0.124385541,0.275386328,1.052660,0.743597404
111,Tween Snow and Fire A Tale of the Last Kafir War,,8,-0.183908,Neither,482,372,323,592,325,439,251,449,1104,889,110726,0.43530878,0.335964453,0.291711071,0.534653108,0.293517331,0.39647418,0.226685693,0.405505482,1.781876,1.137944114
114,Fifteen Hundred Miles An Hour   ,,3,0.302316,Neither,337,347,241,435,315,370,199,414,815,855,81950,0.411226358,0.42342892,0.294081757,0.53081147,0.38438072,0.451494814,0.242830995,0.505186089,1.863331,1.380109823
115,Final Proof Or The Value of Evidence,,2,0.162598,Neither,312,292,217,391,222,331,165,414,757,722,98389,0.31710862,0.296781144,0.220553111,0.397402149,0.22563498,0.336419722,0.167701674,0.420778746,1.328401,1.053979612
116,Fire Island ,,1,0.00719,Neither,301,268,207,405,213,294,179,272,744,576,120043,0.250743484,0.223253334,0.17243821,0.337379106,0.177436419,0.24491224,0.149113234,0.226585474,1.087110,0.694751048
117,For Treasure Bound,,0,0.489566,Neither,287,300,189,398,257,303,186,384,731,766,105752,0.271389666,0.283682578,0.178720024,0.37635222,0.243021409,0.286519404,0.175883198,0.3631137,1.245367,0.933315682
118,Fordham's Feud,,2,0.095689,Neither,445,374,313,540,323,435,225,468,1066,919,101799,0.437135925,0.367390642,0.307468639,0.530457077,0.317291918,0.427312646,0.221023782,0.459729467,1.813377,1.254432755
119,Frances Waldeaux A Novel,,0,0.140156,Neither,174,185,158,226,206,210,114,292,451,520,37059,0.469521574,0.499203972,0.426347176,0.609838366,0.555870369,0.566663968,0.307617583,0.787932756,2.369195,1.853800696
120,French and English A Story of the Struggle in America,,0,-0.029008,Neither,421,354,265,554,311,429,213,461,987,858,130630,0.322284314,0.270994412,0.202863048,0.424098599,0.238077011,0.328408482,0.16305596,0.352905152,1.350379,0.952308046
122,From Kingdom to Colony,,0,0.154325,Neither,340,307,216,416,285,349,180,398,771,757,96106,0.353776039,0.319438953,0.224751837,0.432855389,0.296547562,0.363140699,0.187293197,0.414126069,1.495224,1.096705721
123,A Doctor of the Old School,,6,0.048419,Neither,87,103,74,128,102,131,54,153,250,264,18199,0.478048244,0.565965163,0.406615748,0.703335348,0.560470356,0.71981977,0.2967196,0.840705533,2.445189,2.126490467
124,From One Generation to Another,,0,0.218674,Neither,290,292,216,351,249,311,163,416,737,782,64464,0.44986349,0.452965997,0.335070737,0.544489948,0.3862621,0.482439811,0.252854306,0.64532142,1.968541,1.580727228
126,From Whose Bourne,,7,0.123394,Neither,157,144,95,193,112,185,89,196,370,343,29976,0.523752335,0.480384307,0.316920203,0.643848412,0.373632239,0.617160395,0.29690419,0.653856418,2.155057,1.751401121
127,Garthowen A Story of a Welsh Homestead,,0,0.469029,Neither,246,286,201,309,277,303,161,346,650,696,83625,0.294170404,0.34200299,0.240358744,0.369506726,0.331240658,0.362331839,0.192526158,0.413751868,1.427803,1.118086697
130,Gil the Gunner The Youngest Officer in the East,,1,0.015071,Neither,401,298,264,464,249,368,197,371,890,700,145630,0.275355353,0.204628167,0.181281329,0.31861567,0.170981254,0.252695186,0.135274325,0.254755202,1.081508,0.712078555
133,Golden Face A Tale of the Wild West,,2,-0.104959,Neither,421,332,295,521,288,384,211,442,964,860,80288,0.524362296,0.413511359,0.367427262,0.64891391,0.358708649,0.478278198,0.262803906,0.550518135,2.162216,1.442307692
134,A Dog with a Bad Name,,19,0.087627,Neither,376,318,282,455,272,399,195,423,898,790,99024,0.37970593,0.32113427,0.284779447,0.459484569,0.274680885,0.402932622,0.196921958,0.427169171,1.595573,1.151236064
135,Good Luck,,0,0.410324,Neither,167,203,118,202,195,207,111,268,417,502,52320,0.319189602,0.387996942,0.225535168,0.386085627,0.372706422,0.395642202,0.212155963,0.512232416,1.515673,1.29587156
137,Green Fire A Romance,,3,-0.002486,Neither,210,216,148,301,184,264,132,259,550,485,51427,0.408345811,0.420012834,0.287786571,0.585295662,0.35778871,0.513349019,0.256674509,0.5036265,1.895891,1.436988352
138,Grey Roses,,1,0.137957,Neither,253,269,199,322,274,315,162,384,679,744,48532,0.52130553,0.554273469,0.410038737,0.663479766,0.56457595,0.649056293,0.333800379,0.791230528,2.493200,1.99456029
139,Grim Tales  ,,126,0.079978,Neither,145,147,119,182,155,170,87,181,345,341,24267,0.597519265,0.60576091,0.490377879,0.749989698,0.63872749,0.700539828,0.358511559,0.745868875,2.835126,2.052169613
140,Grisly Grisell Or The Laidly Lady of Whitburn A Tale of the Wars of the Roses,,53,0.206536,Neither,285,277,213,375,259,323,165,406,704,716,62590,0.455344304,0.44256271,0.340309954,0.599137242,0.413804122,0.516056878,0.263620387,0.648665921,2.072216,1.607285509
142,Half a Hero A Novel,,4,0.183227,Neither,318,286,214,387,250,336,173,383,771,708,66286,0.479739311,0.431463657,0.322843436,0.58383369,0.377153547,0.506894367,0.260990254,0.577799234,2.024560,1.516157258
143,Heather and Snow,,217,0.089632,Neither,272,244,196,346,234,318,143,337,678,640,76322,0.356384791,0.319698121,0.256806687,0.453342418,0.306595739,0.416655748,0.187364063,0.441550274,1.560494,1.177904143
144,Helbeck of Bannisdale,,31,0.046872,Bestsellers,410,373,307,512,335,451,208,482,1038,890,139110,0.294730789,0.268133132,0.220688664,0.368054058,0.24081662,0.324203867,0.149521961,0.34648839,1.273812,0.93882539
145,A Dozen Ways Of Love,,4,0.226409,Neither,296,308,234,374,298,332,179,416,759,832,81479,0.363283791,0.378011512,0.287190564,0.459013979,0.365738411,0.407466955,0.219688509,0.510561003,1.694915,1.29603947
147,Her Ladyship's Elephant,,6,0.2297,Neither,205,210,123,232,175,198,125,290,450,491,37190,0.551223447,0.564667921,0.330734068,0.623823608,0.470556601,0.532401183,0.336111858,0.779779511,2.312450,1.876848615
148,Her Majesty's Minister,,2,0.206604,Neither,341,326,231,426,271,360,187,438,846,829,95432,0.357322491,0.341604493,0.242057172,0.446391148,0.283971833,0.377231956,0.195951044,0.458965546,1.525694,1.177801995
149,Herb of Grace  ,,14,0.379818,Neither,364,359,268,449,364,430,208,515,969,981,137196,0.265313858,0.261669436,0.195340972,0.327269017,0.265313858,0.313420216,0.151607919,0.375375375,1.204846,0.950465028
150,Hilda Wade a Woman with Tenacity of Purpose,,25,0.13237,Neither,374,343,270,490,295,373,210,472,916,905,90243,0.414436577,0.380084882,0.299192181,0.542978403,0.326895161,0.413328458,0.23270503,0.523032257,1.816207,1.316445597
151,His Big Opportunity,,12,0.307597,Neither,180,185,145,230,164,204,110,211,439,425,40316,0.446472864,0.458874888,0.359658696,0.570493104,0.406786388,0.50600258,0.272844528,0.523365413,2.056256,1.488242881
153,His Lordship's Leopard A Truthful Narration of Some Impossible Facts,,1,0.277044,Neither,236,241,167,273,208,225,134,360,571,602,47618,0.495610903,0.506111134,0.350707716,0.573312613,0.43680961,0.472510395,0.281406191,0.756016632,2.137847,1.734638162
154,Hugh Wynne Free Quaker Sometime Brevet Lieutenant-Colonel on the Staff of his Excellency General Washington,,0,0.166574,Neither,426,328,308,502,317,433,197,493,1015,892,153520,0.277488275,0.213652944,0.200625326,0.326993226,0.206487754,0.282047942,0.128322043,0.321130797,1.139917,0.816831683
155,Hunted and Harried,,98,-0.105979,Neither,309,257,192,387,202,317,158,339,658,606,45074,0.685539335,0.570173492,0.425966189,0.8585881,0.448151928,0.703287927,0.350534676,0.752096552,2.768780,2.025557971
156,A Duet with an Occasional Chorus,,0,0.216616,Neither,264,290,198,319,285,298,162,407,671,757,68657,0.384520151,0.42238956,0.288390113,0.464628516,0.415106981,0.434041685,0.235955547,0.592801899,1.788601,1.449233144
157,"I, Thou, and the Other One A Love Story",,10,0.360888,Neither,341,303,221,391,286,340,176,419,759,777,84645,0.402858999,0.357965621,0.261090437,0.461929234,0.337881741,0.401677595,0.207927225,0.495008565,1.671688,1.254651781
158,If Sinners Entice Thee,,2,0.151547,Neither,303,284,228,387,250,333,153,369,735,708,74086,0.408984154,0.383338283,0.307750452,0.522365899,0.337445671,0.449477634,0.206516751,0.498069811,1.783063,1.330885727
159,Imogen Only Eighteen,,0,0.293197,Neither,203,235,142,236,208,228,137,290,516,546,50084,0.405319064,0.469211724,0.28352368,0.47120837,0.415302292,0.455235205,0.273540452,0.579027234,1.848894,1.503474163
160,In a Hollow of the Hills,,0,-0.021399,Neither,217,221,172,295,171,247,132,284,574,528,40414,0.536942644,0.546840204,0.425595091,0.729945069,0.423120701,0.611174346,0.326619488,0.702726778,2.442223,1.860741327
161,In Connection with the De Willoughby Claim,,0,0.251526,Neither,329,350,259,413,326,395,200,473,854,913,130637,0.251842893,0.267917971,0.198259299,0.316143206,0.249546453,0.302364567,0.153095984,0.362072001,1.168888,0.93235454
162,In Direst Peril,,1,0.18715,Neither,366,316,256,435,261,356,177,414,899,751,88972,0.411365373,0.355167918,0.287730972,0.488917862,0.293350717,0.400125882,0.198938992,0.465314931,1.680304,1.220608731
163,In Far Bolivia A Story of a Strange Wild Land,,0,0.135288,Neither,282,293,196,402,252,301,167,350,681,693,66181,0.426104169,0.442725253,0.296157507,0.607425092,0.380773938,0.454813315,0.252338284,0.528852692,1.962799,1.42639126
164,In Greek Waters A Story of the Grecian War of Independence,,0,0.223377,Neither,347,277,217,408,239,316,165,400,775,698,149474,0.232147397,0.18531651,0.14517575,0.27295717,0.159894028,0.211408004,0.110387091,0.267605068,0.920561,0.664329582
165,In Homespun,,0,0.250775,Neither,131,124,98,156,127,147,71,175,300,291,40776,0.321267412,0.304100451,0.240337453,0.382577987,0.31145772,0.36050618,0.174122033,0.429174024,1.429763,1.093780655
166,In Honour's Cause A Tale of the Days of George the First,,0,0.074655,Neither,333,251,230,404,211,336,174,316,772,598,118011,0.282177085,0.212692037,0.194897086,0.342340968,0.178796892,0.284719221,0.147443882,0.267771648,1.145656,0.765182907
