Book,Title,Goodreads,Sentiment,Status,MATTR
161,In Connection with the De Willoughby Claim,0,0.251526,Neither,0.5079313398397306
162,In Direst Peril,1,0.18715,Neither,0.4849106026264536
163,In Far Bolivia A Story of a Strange Wild Land,0,0.135288,Neither,0.5370790112387342
164,In Greek Waters A Story of the Grecian War of Independence,0,0.223377,Neither,0.47934189950169476
165,In Homespun,0,0.250775,Neither,0.4451852297209279
166,In Honour's Cause A Tale of the Days of George the First,0,0.074655,Neither,0.4782269169103084
167,A Fascinating Traitor An Anglo Indian Story,1,0.161927,Neither,0.549889391703558
168,In Kedar's Tents,0,0.175786,Bestsellers,0.4636459173010897
169,In Search of Mademoiselle,2,0.047636,Neither,0.49209563822963437
170,In Strange Company A Story of Chili and the Southern Seas,3,0.113137,Neither,0.5185673115733391
171,In the Cage,717,0.33997,Neither,0.501152224824356
172,In the Day of Adversity,0,-0.029461,Neither,0.5078185568420093
173,In the Days of Drake,36,0.082355,Neither,0.504583649777585
174,In the Days of Chivalry  A Tale of the Times of the Black Prince,0,0.180981,Neither,0.5104760101834324
175,In the Fire of the Forge A Romance of Old Nuremberg,0,0.439865,Neither,0.5415309577272284
176,In the Fog,316,-0.004978,Neither,0.4716273099681384
177,In the Heart of the Rockies A Story of Adventure in Colorado,0,0.191624,Neither,0.4733250992724238
178,A First Family of Tasajara,0,0.241759,Neither,0.5304582355377606
179,In the Irish Brigade: A Tale of War in Flanders and Spain,0,0.223951,Neither,0.4851157583670151
180,In the Mahdi's Grasp,0,0.29339,Neither,0.49349040094257896
181,In the Midst of Alarms,7,0.196992,Neither,0.5000449692697265
182,In the Palace of the King A Love Story of Old Madrid,14,0.070778,Neither,0.4843075958345755
183,In the Quarter,10,0.073527,Neither,0.5344307988593016
184,In the Roar of the Sea,15,-0.031166,Neither,0.48702739994951905
185,In the Tideway,0,0.150843,Neither,0.537747515380975
186,In the Wars of the Roses A Story for the Young,0,0.39251,Neither,0.516499552190885
187,In the Year of Jubilee  Part,136,0.143833,Neither,0.5309765921963971
188,In the Yellow Sea,1,-0.001691,Neither,0.5228092358624418
189,"A Friend of Caesar  A Tale of the Fall of the Roman Republic  Time, 50-47 B.C.",25,0.001189,Neither,0.5474866690602519
190,In White Raiment,0,0.115688,Neither,0.5163320558622929
191,Into the Highways and Hedges,1,-0.006579,Neither,0.5126185707085096
192,Jack of Both Sides The Story of a School War,1,0.057193,Neither,0.5333487964136049
193,Jane Field  A Novel,0,0.148023,Neither,0.47397434469591504
194,Jennie Baxter Journalist,9,0.359134,Neither,0.4922328612974411
195,Jewel Mysteries from a Dealer's Note Book,26,0.192778,Neither,0.5078311030070773
196,Jill a Flower Girl,0,0.316922,Neither,0.4842764883248019
197,Joan of the Sword Hand,2,0.230407,Neither,0.5263833846933176
198,Joe Wilson and His Mates,32,-0.009397,Neither,0.4792673227075437
199,"John Ames, Native Commissioner",1,-0.083731,Neither,0.5350514096991185
200,A Gallant Grenadier A Tale of the Crimean War,15,0.041726,Neither,0.5238531297508097
201,John Burnet of Barns A Romance,71,0.099235,Neither,0.5137399025188316
202,"John Splendid  The Tale of a Poor Gentleman, and the Little Wars of Lorn",14,-0.0482,Neither,0.5240878257707382
203,Jude the Obscure,59811,0.190505,Canonical novels,0.5222712548944443
204,Jungle and Stream Or The Adventures of Two Boys in Siam,0,0.056701,Neither,0.48837778350515465
205,Kate Carnegie and Those Ministers,0,0.421716,Neither,0.5347150787984699
206,Khaled A Tale of Arabia,73,0.191659,Neither,0.46832649597754605
207,Kilgorman A Story of Ireland in 1798,4,-0.080157,Neither,0.5027527710085685
208,Kim,32366,0.104296,Both canonical and bestsellers,0.536661603471905
209,King of the Castle,2,0.084782,Neither,0.491651419448879
210,Klondike Nuggets and How Two Boys Secured Them,2,0.235264,Neither,0.5302114895780377
211,A Gentleman of France Being the Memoirs of Gaston de Bonne Sieur de Marsac,0,-0.039004,Neither,0.5122242481970336
212,Lancashire Idylls 1898,0,-0.009233,Neither,0.5228452649525548
213,Lawrence Clavering,6,0.007067,Neither,0.4893639401969703
214,Light Freights,0,0.059233,Neither,0.4794333146568719
215,Lilith A Romance,5442,-0.044354,Neither,0.49182254641626943
216,Little Miss Joy,1,0.285952,Neither,0.49580320108872517
217,Liza of Lambeth,1625,0.039701,Neither,0.4864656870660423
218,Lochinvar A Novel,4,0.109014,Neither,0.5271803681775534
219,London Pride Or When the World Was Younger,10,0.174088,Neither,0.5457333232338535
220,Lord Jim,26700,-0.053442,Canonical novels,0.5343233258859307
221,Lord Ormont and His Aminta,11,0.196894,Neither,0.5340793218398234
222,Captains Courageous A Story of the Grand Banks,19229,0.067948,Canonical novels,0.551536121252351
223,A Girl in Spring-Time,8,0.180758,Neither,0.5127367200986437
224,Lords of the World A story of the fall of Carthage and Corinth,12,0.212932,Neither,0.5076077285806501
225,Lost Man's Lane A Second Episode in the Life of Amelia Butterworth,0,0.139701,Neither,0.511406587502015
226,Love Among the Lions A Matrimonial Experience,0,0.25804,Neither,0.5223534343373855
227,Love and Mr. Lewisham,0,0.068028,Neither,0.5193083411433927
228,Lying Prophets A Novel,1,0.138535,Neither,0.5512048709004317
229,Lysbeth a Tale of the Dutch,251,0.054143,Neither,0.5193597611544203
230,Madelon  A Novel,0,0.055487,Neither,0.483345629247715
231,Mademoiselle Blanche,0,0.206936,Neither,0.4892670559363629
232,Maggie A Girl of the Streets,7129,-0.199213,Neither,0.5312006287385932
233,Mammon and Co.,0,0.303878,Neither,0.5069915056993376
234,A Girl of the Klondike,0,0.004314,Neither,0.5056409958539467
235,Many Cargoes,0,0.146636,Neither,0.4991024618659099
236,Maori and Settler A Story of The New Zealand War,0,0.239813,Neither,0.47913106045589693
237,Marcella,2,0.121576,Canonical novels,0.53179708370257
238,Marietta A Maid of Venice,23,0.167972,Neither,0.48499008291334744
239,Marion Darche A Story Without Comment,0,0.215056,Neither,0.4827290683638758
240,A Modern Wizard,3,0.131122,Neither,0.48628546552450497
241,Martin Hewitt Investigator,0,0.070233,Neither,0.49514308114464917
242,Mass George A Boy's Adventures in the Old Savannah,1,-0.026037,Neither,0.48928993972177065
243,Master of Men,0,0.117336,Neither,0.5203668177385119
244,Master Skylark A Story of Shakspere's Time,46,0.117634,Neither,0.5254350574712644
245,A Girl of the North A Story of London and Canada,0,0.139233,Neither,0.4120045097784138
246,Materfamilias,2,0.183552,Neither,0.5137104599013005
247,Menotah A Tale of the Riel Rebellion,0,-0.065888,Neither,0.5518068794216141
248,Michael's Crag,8,0.085722,Neither,0.5218987957321434
249,Miranda of the Balcony A Story,8,-0.009287,Neither,0.4862116630669546
250,Miss Cayley's Adventures,207,0.129665,Neither,0.5290606445429495
251,Miss Merivale's Mistake,0,0.197536,Neither,0.4739772554485555
252,Miss Mous and Her Boys,0,0.256189,Neither,0.4788887748117728
253,Miss Stuart's Legacy,2,0.043186,Neither,0.5397132907502933
254,Mollie's Prince A Novel,10,0.356703,Bestsellers,0.513898656701994
255,Monsieur Beaucaire,104,0.114363,Neither,0.521484047255485
256,A Gray Eye or So,0,0.322317,Neither,0.4780700662611646
257,Montezuma's Daughter,1654,-0.089048,Neither,0.4887561635077718
258,Moonfleet,4580,-0.135686,Neither,0.49248926315789476
259,More About Peggy,0,0.359279,Neither,0.5233356233167481
260,Mr.Marx's Secret,37,0.046719,Neither,0.513239872095722
261,Mr.Witt's Widow A Frivolous Tale,4,0.188869,Neither,0.5064997922941116
262,Mrs.Cliff's Yacht,3,0.571784,Neither,0.46373896437076495
263,My Brilliant Career,5488,0.221965,Neither,0.5224634909833277
264,My Danish Sweetheart A Novel,4,0.030056,Neither,0.5219274515122745
265,My Lady Rotha,12,-0.097215,Neither,0.5017018273547651
266,My Lord Duke,3,0.171926,Neither,0.5085988029779572
267,A Hero of Romance,2,0.096108,Neither,0.47543578342596643
268,Mysterious Mr. Sabin,30,0.165358,Neither,0.4987822763408756
269,Nada the Lily,306,-0.205395,Neither,0.4505771341923012
270,Nevermore,0,0.078034,Neither,0.5500907474196819
271,New Grub Street,5509,0.142329,Canonical novels,0.5168870214851512
272,News from Nowhere Or An Epoch of Rest Being Some Chapters from a Utopian Romance,1636,0.699198,Canonical novels,0.49098735904433344
273,No Surrender A Tale of the Rising in La Vendee,0,0.037122,Neither,0.48477635288116483
274,Noémi,1,-0.101158,Neither,0.5006830744330877
275,Nurse Elisia,1,0.129738,Neither,0.48271548432276734
276,Nurse Heatherdale's Story,0,0.325361,Neither,0.4796722511545642
277,Odd,20,0.209659,Neither,0.4900422524697041
278,A Honeymoon in Space,73,0.380544,Neither,0.5191692068911997
279,Olaf the Glorious A Story of the Viking Age,157,0.198531,Neither,0.4950988321069331
280,On the Face of the Waters A Tale of the Mutiny,31,0.004282,Neither,0.5369617204939512
281,On The Irrawaddy: A Story of the First Burmese War,0,0.13317,Neither,0.4782427331458825
282,One Man's View,2,0.180736,Neither,0.4997362250561828
283,One of Our Conquerors,6,0.227791,Neither,0.5457909932722623
284,Orientations,43,0.028192,Neither,0.4922456878248034
285,Our Bessie,21,0.355051,Neither,0.4961723691412247
286,Our Friend the Charlatan,19,0.343329,Neither,0.5322914005800063
287,Out with Garibaldi A story of the liberation of Italy,0,0.112658,Neither,0.4853773866492071
288,Pabo the Priest A Novel,1,-0.040108,Neither,0.5111431468122442
289,A Humble Enterprise,6,0.447988,Neither,0.5161132396003308
290,Parson Kelly,5,0.077999,Neither,0.494039743648016
291,Paul the Courageous,1,-0.029064,Neither,0.48595877665919174
292,Peccavi,0,0.056944,Neither,0.5042567557134033
