Book,Title,Goodreads,Sentiment,Status
113,Father Stafford,5,0.251834,Neither
114,Fifteen Hundred Miles An Hour   ,3,0.302316,Neither
115,Final Proof Or The Value of Evidence,2,0.162598,Neither
116,Fire Island ,1,0.00719,Neither
117,For Treasure Bound,0,0.489566,Neither
118,Fordham's Feud,2,0.095689,Neither
119,Frances Waldeaux A Novel,0,0.140156,Neither
120,French and English A Story of the Struggle in America,0,-0.029008,Neither
121,Friendship and Folly A Novel,3,0.206157,Neither
122,From Kingdom to Colony,0,0.154325,Neither
123,A Doctor of the Old School,6,0.048419,Neither
124,From One Generation to Another,0,0.218674,Neither
125,From the Memoirs of a Minister of France,0,-0.022944,Neither
126,From Whose Bourne,7,0.123394,Neither
127,Garthowen A Story of a Welsh Homestead,0,0.469029,Neither
128,Gaston de Latour an unfinished romance,6,0.782791,Neither
129,Ghetto Tragedies,13,0.062935,Neither
130,Gil the Gunner The Youngest Officer in the East,1,0.015071,Neither
131,Gilian The Dreamer His Fancy His Love and Adventure,6,0.050523,Neither
132,Gold Gold in Cariboo A Story of Adventure in British Columbia,0,0.072745,Neither
133,Golden Face A Tale of the Wild West,2,-0.104959,Neither
134,A Dog with a Bad Name,19,0.087627,Neither
135,Good Luck,0,0.410324,Neither
136,Grace O'Malley Princess and Pirate,1,-0.003073,Neither
137,Green Fire A Romance,3,-0.002486,Neither
138,Grey Roses,1,0.137957,Neither
139,Grim Tales  ,126,0.079978,Neither
140,Grisly Grisell Or The Laidly Lady of Whitburn A Tale of the Wars of the Roses,53,0.206536,Neither
141,Guilty Bonds,3,-0.08138,Neither
142,Half a Hero A Novel,4,0.183227,Neither
143,Heather and Snow,217,0.089632,Neither
144,Helbeck of Bannisdale,31,0.046872,Bestsellers
145,A Dozen Ways Of Love,4,0.226409,Neither
146,Held Fast For England A Tale of the Siege of Gibraltar 1779-83,0,0.248522,Neither
147,Her Ladyship's Elephant,6,0.2297,Neither
148,Her Majesty's Minister,2,0.206604,Neither
149,Herb of Grace  ,14,0.379818,Neither
150,Hilda Wade a Woman with Tenacity of Purpose,25,0.13237,Neither
